target,label,chain,pip
73,edge_W2_1_2,2,0.6922
73,edge_W2_1_2,3,0.6344
73,edge_W2_1_2,4,0.7004
73,edge_W2_1_2,pooled,0.66815
74,edge_W2_1_3,1,0.6474
74,edge_W2_1_3,2,0.6764
74,edge_W2_1_3,3,0.6026
74,edge_W2_1_3,4,0.7046
74,edge_W2_1_3,pooled,0.65775
75,edge_W2_1_4,1,0.6626
75,edge_W2_1_4,2,0.6726
75,edge_W2_1_4,3,0.6356
75,edge_W2_1_4,4,0.7062
75,edge_W2_1_4,pooled,0.66925
76,edge_W2_2_0,1,0.65
76,edge_W2_2_0,2,0.6836
76,edge_W2_2_0,3,0.6318
76,edge_W2_2_0,4,0.6948
76,edge_W2_2_0,pooled,0.66505
77,edge_W2_2_1,1,0.6502
77,edge_W2_2_1,2,0.683
77,edge_W2_2_1,3,0.6206
77,edge_W2_2_1,4,0.7036
77,edge_W2_2_1,pooled,0.66435
78,edge_W2_2_2,1,0.6508
78,edge_W2_2_2,2,0.681
78,edge_W2_2_2,3,0.6332
78,edge_W2_2_2,4,0.6998
78,edge_W2_2_2,pooled,0.6662
79,edge_W2_2_3,1,0.6862
79,edge_W2_2_3,2,0.6414
79,edge_W2_2_3,3,0.6264
79,edge_W2_2_3,4,0.6958
79,edge_W2_2_3,pooled,0.66245
80,edge_W2_2_4,1,0.661
80,edge_W2_2_4,2,0.6646
80,edge_W2_2_4,3,0.636
80,edge_W2_2_4,4,0.6832
80,edge_W2_2_4,pooled,0.6612
81,edge_W2_3_0,1,0.6472
81,edge_W2_3_0,2,0.6558
81,edge_W2_3_0,3,0.6694
81,edge_W2_3_0,4,0.7344
81,edge_W2_3_0,pooled,0.6767
82,edge_W2_3_1,1,0.6352
82,edge_W2_3_1,2,0.661
82,edge_W2_3_1,3,0.7576
82,edge_W2_3_1,4,0.692
82,edge_W2_3_1,pooled,0.68645
83,edge_W2_3_2,1,0.6534
83,edge_W2_3_2,2,0.656
83,edge_W2_3_2,3,0.6602
83,edge_W2_3_2,4,0.7166
83,edge_W2_3_2,pooled,0.67155
84,edge_W2_3_3,1,0.6796
84,edge_W2_3_3,2,0.6684
84,edge_W2_3_3,3,0.6334
84,edge_W2_3_3,4,0.6862
84,edge_W2_3_3,pooled,0.6669
85,edge_W2_3_4,1,0.666
85,edge_W2_3_4,2,0.6526
85,edge_W2_3_4,3,0.6684
85,edge_W2_3_4,4,0.7116
85,edge_W2_3_4,pooled,0.67465
86,edge_W2_4_0,1,0.664
86,edge_W2_4_0,2,0.6808
86,edge_W2_4_0,3,0.6724
86,edge_W2_4_0,4,0.796
86,edge_W2_4_0,pooled,0.7033
87,edge_W2_4_1,1,0.657
87,edge_W2_4_1,2,0.6374
87,edge_W2_4_1,3,0.6712
87,edge_W2_4_1,4,0.7186
87,edge_W2_4_1,pooled,0.67105
88,edge_W2_4_2,1,0.6962
88,edge_W2_4_2,2,0.6522
88,edge_W2_4_2,3,0.6954
88,edge_W2_4_2,4,0.7406
88,edge_W2_4_2,pooled,0.6961
89,edge_W2_4_3,1,0.6692
89,edge_W2_4_3,2,0.6604
89,edge_W2_4_3,3,0.691
89,edge_W2_4_3,4,0.7222
89,edge_W2_4_3,pooled,0.6857
90,edge_W2_4_4,1,0.647
90,edge_W2_4_4,2,0.6416
90,edge_W2_4_4,3,0.687
90,edge_W2_4_4,4,0.7192
90,edge_W2_4_4,pooled,0.6737
91,edge_Wout_0_0,1,0.8964
91,edge_Wout_0_0,2,0.7544
91,edge_Wout_0_0,3,0.697
91,edge_Wout_0_0,4,0.7698
91,edge_Wout_0_0,pooled,0.7794
92,edge_Wout_0_1,1,0.646
92,edge_Wout_0_1,2,0.8418
92,edge_Wout_0_1,3,0.6606
92,edge_Wout_0_1,4,0.7582
92,edge_Wout_0_1,pooled,0.72665
93,edge_Wout_0_2,1,0.6756
93,edge_Wout_0_2,2,0.7172
93,edge_Wout_0_2,3,0.5972
93,edge_Wout_0_2,4,0.724
93,edge_Wout_0_2,pooled,0.6785
94,edge_Wout_0_3,1,0.6652
94,edge_Wout_0_3,2,0.6624
94,edge_Wout_0_3,3,0.7712
94,edge_Wout_0_3,4,0.7516
94,edge_Wout_0_3,pooled,0.7126
95,edge_Wout_0_4,1,0.709
95,edge_Wout_0_4,2,0.667
95,edge_Wout_0_4,3,0.7676
95,edge_Wout_0_4,4,0.8134
95,edge_Wout_0_4,pooled,0.73925
