method,mode,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,pip_hard,softgate,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,recovery,simple,434,434,37,38,0.0,0,0.0,0.0,0.12843835,0,-0.033838674,0.039518043,0.0,0.0
last_flow,recovery,simple,434,434,38,39,0.0,0,0.0,0.0,0.16828243,0,0.13525024,0.0667835,0.0,0.0
last_flow,recovery,simple,434,434,39,40,-1.0074053,1,0.0,0.0,0.28478068,0,-0.59825915,0.119944185,0.0,0.0
last_flow,recovery,simple,434,434,40,41,0.0,0,0.0,0.0,0.18948016,0,-0.12584172,0.067669116,0.0,0.0
last_flow,recovery,simple,434,434,41,42,0.0,0,0.00275,0.00275,0.035477206,0,-0.012546102,0.036311556,-0.0012802363,0.029197162
last_flow,recovery,simple,434,434,42,43,0.0,0,0.0,0.0,0.2109168,0,0.15599847,0.074376516,0.0,0.0
last_flow,recovery,simple,434,434,43,44,0.0,0,0.0,0.0,0.19630115,0,-0.17055677,0.06519956,0.0,0.0
last_flow,recovery,simple,434,434,44,45,0.0,0,0.0,0.0,0.1339384,0,0.0059304973,0.028620899,0.0,0.0
last_flow,recovery,simple,434,434,45,46,0.0,0,0.0,0.0,0.11256459,0,-0.02653089,0.036884133,0.0,0.0
last_flow,recovery,simple,434,434,46,47,0.0,0,0.003,0.003,0.023781277,0,0.0084470585,0.035224576,0.0010542579,0.026401587
last_flow,recovery,simple,434,434,47,48,-1.5626832,1,0.99975,0.99975,0.74536365,1,-1.5371364,0.157137,-2.0641818,0.1900135
last_flow,recovery,simple,434,434,48,49,0.0,0,0.0005,0.0005,0.13310915,0,0.11113439,0.074933045,0.00035449653,0.016105382
last_flow,recovery,simple,434,434,49,50,0.0,0,0.0,0.0,0.090349816,0,0.013044991,0.026890198,0.0,0.0
