method,epoch,group_id,selection_type,block,layer,edge_layer,parameter,target,source,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
MCMC,,17,edge,hidden_layer_1,0,hidden_layer_1,W1,2,5,input,0.5316500067710876,0.1783241629600525,0.10309097915887833,0.9894993901252747,0.6916794180870056,0.539283037185669
MCMC,,18,edge,hidden_layer_1,0,hidden_layer_1,W1,3,0,input,0.6876500248908997,0.3317868709564209,0.5874875783920288,1.143922209739685,0.9473162889480591,0.7723518013954163
MCMC,,19,edge,hidden_layer_1,0,hidden_layer_1,W1,3,1,input,0.5960999727249146,0.23285283148288727,0.27574026584625244,1.0432300567626953,0.73201984167099,0.5963769555091858
MCMC,,20,edge,hidden_layer_1,0,hidden_layer_1,W1,3,2,input,0.5939000248908997,0.22760801017284393,0.2556561529636383,1.0389281511306763,0.7332307696342468,0.6019061803817749
MCMC,,21,edge,hidden_layer_1,0,hidden_layer_1,W1,3,3,input,0.6940500140190125,0.3305427134037018,0.5831799507141113,1.102097511291504,0.9233580827713013,0.7592196464538574
MCMC,,22,edge,hidden_layer_1,0,hidden_layer_1,W1,3,4,input,0.6153500080108643,0.23979413509368896,0.3060910701751709,1.0371265411376953,0.7298741936683655,0.6033790111541748
MCMC,,23,edge,hidden_layer_1,0,hidden_layer_1,W1,3,5,input,0.6140999794006348,0.2415246069431305,0.29941287636756897,1.0352145433425903,0.7355822324752808,0.6041156649589539
MCMC,,24,edge,hidden_layer_1,0,hidden_layer_1,W1,4,0,input,0.7363499999046326,0.39238494634628296,0.7696999311447144,1.156103491783142,1.0607558488845825,0.9198346138000488
MCMC,,25,edge,hidden_layer_1,0,hidden_layer_1,W1,4,1,input,0.5925999879837036,0.22722658514976501,0.25990262627601624,1.028552770614624,0.7268364429473877,0.5939303040504456
MCMC,,26,edge,hidden_layer_1,0,hidden_layer_1,W1,4,2,input,0.588450014591217,0.22592025995254517,0.2527799904346466,1.0359745025634766,0.7185821533203125,0.5815125703811646
MCMC,,27,edge,hidden_layer_1,0,hidden_layer_1,W1,4,3,input,0.6625999808311462,0.2911013066768646,0.4642898440361023,1.0811349153518677,0.8279566168785095,0.6804792881011963
MCMC,,28,edge,hidden_layer_1,0,hidden_layer_1,W1,4,4,input,0.5926499962806702,0.23310546576976776,0.2690848708152771,1.043966293334961,0.7232407331466675,0.5885492563247681
MCMC,,29,edge,hidden_layer_1,0,hidden_layer_1,W1,4,5,input,0.6194999814033508,0.2474512755870819,0.31845545768737793,1.0433119535446167,0.7191078662872314,0.5817871689796448
MCMC,,30,edge,hidden_layer_2,1,hidden_layer_2,W2,0,0,input,0.6723499894142151,0.2990831434726715,0.477384477853775,1.0708210468292236,0.7887722253799438,0.6769436597824097
MCMC,,31,edge,hidden_layer_2,1,hidden_layer_2,W2,0,1,input,0.662850022315979,0.2984378933906555,0.46959438920021057,1.0984482765197754,0.8362873196601868,0.7091385126113892
MCMC,,32,edge,hidden_layer_2,1,hidden_layer_2,W2,0,2,input,0.7219499945640564,0.34649786353111267,0.6312856078147888,1.0712471008300781,0.9531421661376953,0.8200885057449341
MCMC,,33,edge,hidden_layer_2,1,hidden_layer_2,W2,0,3,input,0.6695500016212463,0.29955896735191345,0.4752737879753113,1.0852800607681274,0.8212954998016357,0.6997048258781433
MCMC,,34,edge,hidden_layer_2,1,hidden_layer_2,W2,0,4,input,0.6675000190734863,0.29306891560554504,0.45998695492744446,1.055106282234192,0.7981374859809875,0.669266402721405
MCMC,,35,edge,hidden_layer_2,1,hidden_layer_2,W2,1,0,input,0.6930999755859375,0.3305904269218445,0.573294460773468,1.100876808166504,0.8421270251274109,0.7318324446678162
MCMC,,36,edge,hidden_layer_2,1,hidden_layer_2,W2,1,1,input,0.6550999879837036,0.2840520441532135,0.43301206827163696,1.0718517303466797,0.7867891788482666,0.6693539619445801
MCMC,,37,edge,hidden_layer_2,1,hidden_layer_2,W2,1,2,input,0.6884999871253967,0.31297463178634644,0.521779477596283,1.0836797952651978,0.8459838032722473,0.7258657813072205
MCMC,,38,edge,hidden_layer_2,1,hidden_layer_2,W2,1,3,input,0.6761999726295471,0.3165925145149231,0.5247361063957214,1.1083636283874512,0.8528779149055481,0.7146741151809692
MCMC,,39,edge,hidden_layer_2,1,hidden_layer_2,W2,1,4,input,0.660099983215332,0.28915122151374817,0.44409647583961487,1.0845500230789185,0.804608941078186,0.6770569086074829
MCMC,,40,edge,hidden_layer_2,1,hidden_layer_2,W2,2,0,input,0.6747000217437744,0.30223456025123596,0.4956660270690918,1.0732064247131348,0.7968906760215759,0.6756266951560974
MCMC,,41,edge,hidden_layer_2,1,hidden_layer_2,W2,2,1,input,0.6956999897956848,0.3261042833328247,0.5650559663772583,1.0969516038894653,0.8377359509468079,0.7229101061820984
