method,mode,setting,seed,replicate_id,n,p,n_active,sigma2,support_threshold,n_draws,selected_size,active_idx0,selected_idx0,selected_ckpt_id,selected_epoch,selected_stage,selected_tau,precision,recall,f1,fdr,tp,fp,fn,tn,support_size,auroc,auprc,K_q,K_g,tau_start,tau_end,base_lr,stage_lr_decay,min_lr_scale,warmup_epochs,n_anneal_stages,min_stage_epochs,max_stage_epochs,q_entropy_weight,lasso_recovery_score
last_flow,lasso_recovery,simple,441,441,160,100,10,1.0,0.5,4000,7,27;30;35;40;44;48;49;76;84;95,27;30;35;40;44;49;95,30,725,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9377777777777776,0.8629411764705882,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8889136048829407
last_flow,lasso_recovery,simple,442,442,160,100,10,1.0,0.5,4000,7,13;19;26;31;41;68;79;82;85;98,13;19;26;41;79;85;98,30,725,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9472222222222222,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.747488375705168
last_flow,lasso_recovery,simple,443,443,160,100,10,1.0,0.5,4000,5,7;8;16;17;18;35;65;71;77;82,7;16;17;18;71,28,675,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.8761111111111112,0.7422222222222222,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9921107689783056
last_flow,lasso_recovery,simple,444,444,160,100,10,1.0,0.5,4000,9,9;27;34;35;37;66;67;72;73;84,27;34;35;37;66;67;72;73;84,32,775,1,0.8,1.0,0.9,0.9473684210526316,0.0,9,0,1,90,9,0.9466666666666664,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.6060812664037285
last_flow,lasso_recovery,simple,445,445,160,100,10,1.0,0.5,4000,9,26;39;49;51;53;60;67;68;84;93,26;39;49;53;60;67;68;84;93,27,650,1,0.8,1.0,0.9,0.9473684210526316,0.0,9,0,1,90,9,0.9455555555555556,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.6127390648215469
last_flow,lasso_recovery,simple,446,446,160,100,10,1.0,0.5,4000,7,9;20;29;31;39;40;44;52;84;98,9;20;31;39;52;84;98,34,825,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9494444444444444,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.5390564448010324
last_flow,lasso_recovery,simple,447,447,160,100,10,1.0,0.5,4000,8,11;18;46;47;58;59;64;76;88;97,11;18;46;47;58;59;64;97,34,825,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.8911111111111111,0.8200000000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8354967992694942
last_flow,lasso_recovery,simple,448,448,160,100,10,1.0,0.5,4000,7,0;3;6;20;24;25;57;64;66;70,0;3;6;20;57;64;70,33,800,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9433333333333332,0.8742857142857143,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9732868912523368
last_flow,lasso_recovery,simple,449,449,160,100,10,1.0,0.5,4000,5,3;10;13;31;40;47;68;69;74;79,10;47;68;74;79,32,775,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.8366666666666668,0.7077777777777777,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8751213768615957
last_flow,lasso_recovery,simple,450,450,160,100,10,1.0,0.5,4000,8,16;23;25;34;39;43;53;60;79;86,16;23;25;34;39;53;79;86,25,600,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.9344444444444444,0.8629411764705883,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.953237959039744
