seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_last_j,pip_last_k,pip_mcmc_j,pip_mcmc_k,slab_skl_j,slab_skl_k,joint_skl
405,true_active_true_active,67,65,68,66,1.1482327,-1.9012158,1.0,1.0,1.0,1.0,13.904936760252456,16.31758866276341,16.0467981739806
405,true_active_true_active,67,82,68,83,1.1482327,-0.3744578,1.0,0.99975,1.0,0.627,13.904936760252456,18.393732893671654,18.347101136872837
405,true_active_true_active,67,70,68,71,1.1482327,-1.0672966,1.0,1.0,1.0,1.0,13.904936760252456,18.903109870068704,18.812719241465125
405,true_active_true_active,35,91,36,92,1.3372941,-1.5384758,1.0,1.0,1.0,1.0,13.982964803956673,15.157026048206891,18.543615334439664
405,true_active_true_active,35,98,36,99,1.3372941,-1.8072733,1.0,1.0,1.0,1.0,13.982964803956673,16.03937223146289,18.41422019934538
405,true_active_true_active,35,65,36,66,1.3372941,-1.9012158,1.0,1.0,1.0,1.0,13.982964803956673,16.31758866276341,17.24733848362672
405,true_active_true_active,35,82,36,83,1.3372941,-0.3744578,1.0,0.99975,1.0,0.627,13.982964803956673,18.393732893671654,18.73717784523371
405,true_active_true_active,35,70,36,71,1.3372941,-1.0672966,1.0,1.0,1.0,1.0,13.982964803956673,18.903109870068704,20.72709785273504
405,true_active_true_active,91,98,92,99,-1.5384758,-1.8072733,1.0,1.0,1.0,1.0,15.157026048206891,16.03937223146289,18.39189607869851
405,true_active_true_active,91,65,92,66,-1.5384758,-1.9012158,1.0,1.0,1.0,1.0,15.157026048206891,16.31758866276341,17.46785383558618
405,true_active_true_active,91,82,92,83,-1.5384758,-0.3744578,1.0,0.99975,1.0,0.627,15.157026048206891,18.393732893671654,17.729735296821758
405,true_active_true_active,91,70,92,71,-1.5384758,-1.0672966,1.0,1.0,1.0,1.0,15.157026048206891,18.903109870068704,21.276601552678557
405,true_active_true_active,98,65,99,66,-1.8072733,-1.9012158,1.0,1.0,1.0,1.0,16.03937223146289,16.31758866276341,16.51655817856643
405,true_active_true_active,98,82,99,83,-1.8072733,-0.3744578,1.0,0.99975,1.0,0.627,16.03937223146289,18.393732893671654,18.823057652021006
405,true_active_true_active,98,70,99,71,-1.8072733,-1.0672966,1.0,1.0,1.0,1.0,16.03937223146289,18.903109870068704,23.241966562291417
405,true_active_true_active,65,82,66,83,-1.9012158,-0.3744578,1.0,0.99975,1.0,0.627,16.31758866276341,18.393732893671654,17.953242364767704
405,true_active_true_active,65,70,66,71,-1.9012158,-1.0672966,1.0,1.0,1.0,1.0,16.31758866276341,18.903109870068704,20.913245564526
405,true_active_true_active,82,70,83,71,-0.3744578,-1.0672966,0.99975,1.0,0.627,1.0,18.393732893671654,18.903109870068704,30.421092371083702
406,true_active_true_active,18,68,19,69,1.4368691,1.7017134,0.99975,1.0,1.0,1.0,8.518136709002992,10.190585201393981,15.813689260155492
406,true_active_true_active,18,93,19,94,1.4368691,1.29488,0.99975,1.0,1.0,1.0,8.518136709002992,11.136241190626727,15.741731831707334
406,true_active_true_active,18,92,19,93,1.4368691,0.98491013,0.99975,1.0,1.0,1.0,8.518136709002992,12.32103599345674,16.804931639251826
406,true_active_true_active,18,47,19,48,1.4368691,-1.5612152,0.99975,1.0,1.0,1.0,8.518136709002992,12.692572327394922,16.704638775889528
406,true_active_true_active,18,3,19,4,1.4368691,-0.63617855,0.99975,1.0,1.0,0.9715,8.518136709002992,13.51156446046209,15.076296848205093
406,true_active_true_active,18,88,19,89,1.4368691,-0.95275056,0.99975,1.0,1.0,1.0,8.518136709002992,15.801408961303984,18.092367918784973
406,true_active_true_active,18,61,19,62,1.4368691,1.3219291,0.99975,1.0,1.0,1.0,8.518136709002992,17.368617908300287,19.16035281054107
406,true_active_true_active,68,93,69,94,1.7017134,1.29488,1.0,1.0,1.0,1.0,10.190585201393981,11.136241190626727,16.135298797365383
406,true_active_true_active,68,92,69,93,1.7017134,0.98491013,1.0,1.0,1.0,1.0,10.190585201393981,12.32103599345674,17.100978165942095
406,true_active_true_active,68,47,69,48,1.7017134,-1.5612152,1.0,1.0,1.0,1.0,10.190585201393981,12.692572327394922,16.704751627650104
406,true_active_true_active,68,3,69,4,1.7017134,-0.63617855,1.0,1.0,1.0,0.9715,10.190585201393981,13.51156446046209,15.360520891367486
406,true_active_true_active,68,88,69,89,1.7017134,-0.95275056,1.0,1.0,1.0,1.0,10.190585201393981,15.801408961303984,18.031134152152557
406,true_active_true_active,68,61,69,62,1.7017134,1.3219291,1.0,1.0,1.0,1.0,10.190585201393981,17.368617908300287,19.012921231192266
406,true_active_true_active,93,92,94,93,1.29488,0.98491013,1.0,1.0,1.0,1.0,11.136241190626727,12.32103599345674,17.0018947604195
406,true_active_true_active,93,47,94,48,1.29488,-1.5612152,1.0,1.0,1.0,1.0,11.136241190626727,12.692572327394922,17.11542201020951
406,true_active_true_active,93,3,94,4,1.29488,-0.63617855,1.0,1.0,1.0,0.9715,11.136241190626727,13.51156446046209,15.915010039822612
406,true_active_true_active,93,88,94,89,1.29488,-0.95275056,1.0,1.0,1.0,1.0,11.136241190626727,15.801408961303984,18.443998022468207
406,true_active_true_active,93,61,94,62,1.29488,1.3219291,1.0,1.0,1.0,1.0,11.136241190626727,17.368617908300287,19.098455604084855
406,true_active_true_active,92,47,93,48,0.98491013,-1.5612152,1.0,1.0,1.0,1.0,12.32103599345674,12.692572327394922,17.806513462234694
406,true_active_true_active,92,3,93,4,0.98491013,-0.63617855,1.0,1.0,1.0,0.9715,12.32103599345674,13.51156446046209,15.886452436466522
406,true_active_true_active,92,88,93,89,0.98491013,-0.95275056,1.0,1.0,1.0,1.0,12.32103599345674,15.801408961303984,18.83644898997247
