seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,pip_js,spike_js,selected_last,selected_mcmc,tp_both,tn_both,mean_last,mean_mcmc,sd_last,sd_mcmc,slab_skl
401,14,15,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.021811849516625004,0.001441553374819009,0.00246661729372319,0.026709261395967156,
401,15,16,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.00099885828578,-0.004549473378049971,0.000256199440565855,0.03510025100532015,
401,16,17,0.0,0,0.0,0.000375,0.000375,0.00012992848202715538,0.00012992848202715538,0,0,False,True,1.437590601736988e-06,0.01790943445418103,9.231739261325139e-05,0.06289321664679258,
401,17,18,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.0009942617365825,-0.0009454311371159164,0.0002864304026928884,0.03003804966450294,
401,18,19,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.11853468926975,0.004760846877670305,0.0018397079449240146,0.033566709185025904,
401,19,20,0.0,0,0.0,0.00025,0.00025,8.659904290211192e-05,8.659904290211192e-05,0,0,False,True,-0.2351130068175,-0.030421502925311948,0.0019419523796417087,0.08028551239430641,
401,20,21,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,0.02028844924505,-0.00806571018162721,0.00444187751290105,0.04511304168291853,
401,21,22,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,1.0895296372938727e-14,1.3772969461237462e-05,5.275494185703988e-13,0.02831226083799207,
401,22,23,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.01116677542665,-0.0012111962422542628,0.0011033005728449672,0.02647889887808519,
401,23,24,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,0.23456198970500003,0.016817927154087052,0.0027185857608439962,0.05921068157372103,
401,24,25,0.0,0,0.0,0.00025,0.00025,8.659904290211192e-05,8.659904290211192e-05,0,0,False,True,-0.0426444558205,0.00593507139313128,0.0038343609726947813,0.041076021207886504,
401,25,26,-0.50801575,1,1.0,0.65375,0.34624999999999995,0.13825962859737073,0.13825962859737073,1,1,True,False,-0.6151030562475001,-0.5513609777237058,0.004258095652447282,0.1301780768076894,12.45862200485276
401,26,27,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.2249025055875,-0.0008308519160401726,0.0023485035791266312,0.028651242857364805,
401,27,28,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.12469093400299999,-0.007664445726640809,0.0013700736596645206,0.040336938077974505,
