seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
400,active_zero,18,43,19,44,-1.6515998,0.0,0.0,0.0,0.3337316764045652,0.10589325854652881,0.013116279079057472,0.5184294015867118,0.7412248325665386,1.140667844754192
400,active_zero,49,19,50,20,1.7504162,0.0,0.0,0.0,0.33489978285803534,0.11618828380534073,0.013858180046699751,0.009927265673025848,0.7101092347608815,1.0610851175784286
400,active_zero,49,36,50,37,1.7504162,0.0,0.0,0.0,0.3357239722065365,0.11620300542830322,0.013863035403735785,0.00788260464779264,0.7148758891084324,1.0664741811735123
400,active_zero,12,45,13,46,1.2004611,0.0,0.0,0.000125,0.3366163926217888,0.08023738113305397,0.015794027668327562,0.20850071176150398,0.6387962478667696,1.008234956695096
400,active_zero,49,23,50,24,1.7504162,0.0,0.0,0.000125,0.3393191020485021,0.1159548156303187,0.013920917670158732,0.5125606546721528,0.7021352940984439,1.107786172594733
400,active_zero,49,33,50,34,1.7504162,0.0,0.0,0.000125,0.3442221991246831,0.11632106242093908,0.013986037606696424,0.05571037057092687,0.7408275489768323,1.1057494008023763
400,active_zero,12,74,13,75,1.2004611,0.0,0.0,0.0,0.34438620493186334,0.0864460679683182,0.014707673634203165,0.10665916026516711,0.7366464601193057,1.1040201062830683
400,active_zero,18,85,19,86,-1.6515998,0.0,0.0,0.000125,0.34677571693666986,0.10611709833267818,0.013556125417883452,0.033961409858485544,0.7072786324680671,1.0714512315783242
400,active_zero,18,84,19,85,-1.6515998,0.0,0.0,0.0,0.3467794721698628,0.10725355380007563,0.013108734610229295,0.5885513306110269,0.7805665417521473,1.2002036860156777
400,active_zero,49,88,50,89,1.7504162,0.0,0.0,0.0,0.34914132382114715,0.11659069224308259,0.014007432162450447,0.14779882817091924,0.7299908589785691,1.109072992881729
400,active_zero,49,43,50,44,1.7504162,0.0,0.0,0.0,0.3511354042711647,0.11705886623738061,0.013812018020257626,0.6157695688828502,0.7240067486502557,1.151878000938508
400,active_zero,49,85,50,86,1.7504162,0.0,0.0,0.000125,0.36417944480326936,0.1172613939782666,0.014246409428788449,0.01772229723211413,0.7285478791324275,1.1097872954139323
