seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
402,active_active,84,72,85,73,1.6387773,-0.9873099,0.0,0.00024999999999997247,0.6725311797909062,0.17856914172872032,0.024448056770855986,0.7664091744217155,0.7553846688774671,1.528525694476131
402,active_active,84,39,85,40,1.6387773,-0.7040978,0.0,0.007249999999999979,0.7222049893228222,0.20000796310168464,0.023427670811713392,0.5849742594772415,0.7701685775406865,1.5767287068243299
402,active_active,84,70,85,71,1.6387773,0.6938954,0.0,0.12250000000000005,0.7336389237424854,0.15153618714788053,0.024695984547653017,0.20151757287022648,0.6928522438587561,1.4679705397399654
402,active_active,84,2,85,3,1.6387773,-1.2326791,0.0,0.0,0.7616413540025584,0.2219194268791539,0.023093821713520358,0.48024527892585656,0.8561096071265554,1.6937408871379949
402,active_active,84,81,85,82,1.6387773,0.9369162,0.0,0.0,0.7972571973139396,0.23653737187731894,0.023930409228156462,0.3057408598815965,0.8701648893600993,1.7276325121569693
402,active_active,57,72,58,73,1.7605225,-0.9873099,0.0,0.00024999999999997247,0.6806454137894941,0.19218474882098202,0.01922159364249983,0.2823143567285272,0.7971039403403832,1.5300046630954531
402,active_active,57,39,58,40,1.7605225,-0.7040978,0.0,0.007249999999999979,0.7303192233214101,0.21225273756947635,0.018133600932631277,0.3431414668074886,0.8679497253212366,1.658341769313501
402,active_active,57,70,58,71,1.7605225,0.6938954,0.0,0.12250000000000005,0.7417531577410733,0.16736563361983733,0.019652039477923128,0.2985323901250384,0.7562299074635646,1.5494858774486062
402,active_active,57,2,58,3,1.7605225,-1.2326791,0.0,0.0,0.7697555880011463,0.23301560318576153,0.017888720162868698,0.7245010487665396,0.9065243093491202,1.776503742586214
402,active_active,57,81,58,82,1.7605225,0.9369162,0.0,0.0,0.8053714313125275,0.24697766618923506,0.018608331431186627,0.6651016078645269,0.9585829172809797,1.85981435885668
402,active_active,72,39,73,40,-0.9873099,-0.7040978,0.00024999999999997247,0.007249999999999979,0.7535485249964007,0.2158984580020683,0.020382473776771926,0.7930747595231163,0.8713148195608532,1.7308562847539652
402,active_active,72,70,73,71,-0.9873099,0.6938954,0.00024999999999997247,0.12250000000000005,0.7649824594160639,0.17196562121221634,0.021565559274144462,0.527167967110045,0.7491535789784879,1.5894407870453138
402,active_active,72,2,73,3,-0.9873099,-1.2326791,0.00024999999999997247,0.0,0.7929848896761369,0.236341259389803,0.020026927635355376,0.21403836550341243,0.8900590996142014,1.7330886836884987
402,active_active,72,81,73,82,-0.9873099,0.9369162,0.00024999999999997247,0.0,0.828600732987518,0.2501177465879122,0.020812260952196317,0.6460408420746424,0.9952858179872908,1.9187054750791133
402,active_active,39,70,40,71,-0.7040978,0.6938954,0.007249999999999979,0.12250000000000005,0.8146562689479799,0.19413506073158585,0.021825991864813578,0.8102137466819818,0.8756768372385014,1.7962244848940414
402,active_active,39,2,40,3,-0.7040978,-1.2326791,0.007249999999999979,0.0,0.8426586992080529,0.2529297092401586,0.01897746497912635,0.3990422319813909,0.9737699041734338,1.8863701637484234
402,active_active,39,81,40,82,-0.7040978,0.9369162,0.007249999999999979,0.0,0.878274542519434,0.26584795294409946,0.01958028853421339,0.27750452865690384,0.950269689558471,1.887774552371559
402,active_active,70,2,71,3,0.6938954,-1.2326791,0.12250000000000005,0.0,0.8540926336277161,0.2166413361469685,0.020431477856922748,0.6215625249507143,0.8784382068353205,1.8214590960370354
402,active_active,70,81,71,82,0.6938954,0.9369162,0.12250000000000005,0.0,0.8897084769390973,0.23159266999583716,0.02083868298734947,0.7552707078644865,0.915933131305791,1.909537616777758
402,active_active,2,81,3,82,-1.2326791,0.9369162,0.0,0.0,0.9177109071991703,0.28270157552948905,0.019277001578111685,0.4381860472910606,1.0787876229247004,2.0734065428004538
403,active_active,94,36,95,37,1.3204614,1.8899299,0.0,0.0,0.37941299223928343,0.07333193078516465,0.01822279546079001,0.6795900615505389,0.5934273175593725,1.0526882078974238
403,active_active,94,82,95,83,1.3204614,-1.8824826,0.0,0.0,0.3816459792969323,0.06921666702902048,0.019749660756828897,0.8536430519278346,0.5596594958296358,1.0385288622114608
403,active_active,94,19,95,20,1.3204614,-0.9490338,0.0,0.03037500000000004,0.39803842059411043,0.038762866639338325,0.024318559908669626,0.9233517181229383,0.5504531551879221,1.0507826742354276
403,active_active,94,25,95,26,1.3204614,1.4924839,0.0,0.0,0.5034241457237979,0.14513773927769308,0.018583140234326175,0.6575054028314606,0.7012080044910162,1.2895422494843107
403,active_active,94,86,95,87,1.3204614,-1.6860123,0.0,0.0,0.7867888414682198,0.28975532947229177,0.01883638263524122,0.7353240310502659,1.0748166962367167,1.9688225694160026
403,active_active,94,31,95,32,1.3204614,-0.44524896,0.0,0.49250000000000005,0.7974037861583558,0.010757962146942345,0.0197074825626738,0.020207442628112672,0.5247129173101743,1.3301401145867042
403,active_active,94,7,95,8,1.3204614,0.85820043,0.0,0.0,0.8253965168543342,0.3103278564632126,0.017741699710720097,0.7195570415538441,1.1490055172897446,2.0818259488734645
403,active_active,36,82,37,83,1.8899299,-1.8824826,0.0,0.0,0.4534334019458771,0.09976682768866801,0.018818162952738596,0.8518622018480799,0.6122893427683331,1.1655901884060698
403,active_active,36,19,37,20,1.8899299,-0.9490338,0.0,0.03037500000000004,0.46982584324305526,0.08163965177873564,0.022773266617782163,0.4665627361004785,0.569801664686469,1.100141063371891
