j,beta_mean,beta_sd,gate_mean,gate_sd,pip,pip_sd,selected,beta_true,truth,mcmc_beta_mean,mcmc_beta_sd,mcmc_pip,beta_mean_abs_error,beta_sd_abs_error,pip_abs_error
28,0.0023426292,0.062710084,0.061417714,0.058371197,0.00075,0.02737923,0,0.0,0,0.004818507377625151,0.03234477547734094,0.0,0.0024758781312114436,0.030365308543750524,0.000750000006519258
29,0.021156143,0.07431016,0.068393774,0.0666455,0.00175,0.041800767,0,0.0,0,0.00506191489107907,0.03755788062547181,0.0,0.01609422850601375,0.03675228054787185,0.0017500000540167093
30,-0.034689404,0.08459004,0.07995626,0.07330545,0.0015,0.03870606,0,0.0,0,-0.0038060314163080983,0.03490105790094455,0.0,0.030883372654069253,0.04968898224635999,0.001500000013038516
31,1.7703557,0.15067181,0.6962332,0.05074547,0.99925,0.027378146,1,1.7440584,1,1.7596063158490702,0.11890030739058008,1.0,0.010749385597462968,0.031771502521147826,0.0007500052452087402
32,0.034952927,0.08121628,0.07660312,0.07004062,0.001,0.031610455,0,0.0,0,0.00041153135259640474,0.02793717300124384,0.0,0.034541396028203844,0.05327911014132284,0.0010000000474974513
33,0.01885531,0.06303716,0.0658375,0.060579322,0.00025,0.015811313,0,0.0,0,-0.009286071316139975,0.04889998475563482,0.000125,0.028141380430000106,0.014137172303081001,0.00012500001187436282
34,-0.023976205,0.07505953,0.06774909,0.065254994,0.0015,0.03870556,0,0.0,0,-0.00105480429648147,0.03167995736661891,0.0,0.02292140062035336,0.04337957575258275,0.001500000013038516
35,-0.015454634,0.06766012,0.06530745,0.061188966,0.0005,0.022357656,0,0.0,0,0.009072048713827472,0.042075380734640865,0.0,0.024526682806575637,0.02558474237517664,0.0005000000237487257
36,0.001965831,0.06942558,0.06186367,0.060384654,0.00075,0.027378632,0,0.0,0,0.007666813439930757,0.03958070226604125,0.0,0.005700982406045278,0.02984488061970094,0.000750000006519258
37,0.017262584,0.06880337,0.06766058,0.063107766,0.00125,0.03533805,0,0.0,0,0.004378964142923636,0.033987833840189136,0.0,0.012883619455570892,0.03481553615874275,0.0012499999720603228
38,-1.7071239,0.14784656,0.6879334,0.051887546,1.0,0.0,1,-1.8607761,1,-1.7125354525319139,0.11306575353646338,1.0,0.005411576913932903,0.034780811114072205,0.0
39,0.017019138,0.075596265,0.069817126,0.068405434,0.00125,0.0353378,0,0.0,0,0.008747104593403306,0.043799333796699015,0.0,0.008272033146731887,0.03179693169812444,0.0012499999720603228
40,0.009110453,0.05673218,0.0577852,0.056218363,0.0005,0.022357658,0,0.0,0,0.0021447805672109026,0.03085434372034427,0.0,0.006965672040063153,0.02587783773932103,0.0005000000237487257
41,-0.016287409,0.066398986,0.061194114,0.05723967,0.0,0.0,0,0.0,0,-0.005642094913871002,0.03520976145763153,0.0,0.010645313855259705,0.03118922422628647,0.0
42,-0.00222972,0.061624702,0.060768902,0.057076015,0.00025,0.015811361,0,0.0,0,-0.004558273787668741,0.03638176594730554,0.0,0.002328553899249828,0.025242936118877547,0.0002500000118743628
43,0.0034333968,0.063981175,0.06214783,0.05784556,0.00025,0.01581133,0,0.0,0,-0.001096287603495226,0.03140373559744144,0.0,0.004529684410435662,0.03257743982522702,0.0002500000118743628
44,-0.0011930136,0.06762047,0.060003757,0.058976468,0.00025,0.015811335,0,0.0,0,-0.029015094668355893,0.08176817064906393,0.000875,0.02782208104406775,0.014147699529183252,0.0006249999881256372
45,0.09630371,0.10253918,0.1192451,0.0890188,0.00525,0.07227457,0,0.0,0,0.027503441094228642,0.07502289044062102,0.000125,0.06880026775710879,0.02751629126866853,0.005124999929219484
46,-7.679363e-06,0.061133306,0.060114805,0.056739487,0.00025,0.01581137,0,0.0,0,0.007133352862935162,0.04107842106567665,0.000125,0.007141032226014822,0.020054885407816928,0.00012500001187436282
47,-0.007968274,0.056121625,0.0599396,0.056141045,0.00075,0.02737927,0,0.0,0,-0.0036458338800548704,0.030559666854401157,0.0,0.004322440065097889,0.025561958151797726,0.000750000006519258
48,0.0073284097,0.070417754,0.064062834,0.060928684,0.0,0.0,0,0.0,0,-0.003161562631765908,0.032712617510876646,0.0,0.010489972333351678,0.0377051368412161,0.0
49,1.7551998,0.1565291,0.6977981,0.053749755,0.99875,0.035337273,1,1.7504162,1,1.6878420358888484,0.11771767131722363,1.0,0.06735775411206713,0.038811427431937134,0.0012500286102294922
50,0.004700903,0.06439799,0.061601415,0.05857584,0.0,0.0,0,0.0,0,0.0026831404440111058,0.02880146842529714,0.0,0.0020177624054247005,0.03559652227828562,0.0
51,0.017502552,0.059907153,0.06042248,0.055416,0.00025,0.015811324,0,0.0,0,0.002417842602294271,0.029411273785923165,0.0,0.015084709296065982,0.03049587946286376,0.0002500000118743628
52,-1.1188475,0.14602037,0.56094146,0.064661495,0.82275,0.3819224,1,-1.1843685,1,-1.0621697698687331,0.10311954502092126,1.0,0.0566777194882615,0.04290082272066352,0.17725002765655518
53,0.02347735,0.077578634,0.07008781,0.06819272,0.00125,0.035337377,0,0.0,0,0.0009761636237224486,0.02864461312083077,0.0,0.0225011858066002,0.048934020902835614,0.0012499999720603228
54,0.006088094,0.058534086,0.05776077,0.056542862,0.0,0.0,0,0.0,0,-0.0006440037749130916,0.027304784507660523,0.0,0.006732097629400034,0.03122930124291931,0.0
55,0.018472577,0.06579809,0.065804675,0.06116617,0.00075,0.027379267,0,0.0,0,0.003599291286154771,0.032960179943403715,0.0,0.01487328522773168,0.03283790896479178,0.000750000006519258
56,0.0075308406,0.05724919,0.056580886,0.053837422,0.0005,0.0223577,0,0.0,0,0.06260613813282176,0.11191429139944438,0.001125,0.05507529755340143,0.05466510297628764,0.0006249999762512743
57,0.01681337,0.063102864,0.06448235,0.05952093,0.00025,0.015811302,0,0.0,0,0.002903227119418751,0.030817653184729808,0.0,0.01391014234843575,0.03228521054427028,0.0002500000118743628
58,0.0054164995,0.061133366,0.059897438,0.056084726,0.0005,0.022357723,0,0.0,0,0.00030187229525533647,0.033611213535644315,0.0,0.0051146271555474665,0.027522152542494037,0.0005000000237487257
59,0.069468275,0.093089566,0.09748807,0.08188077,0.00325,0.05692258,0,0.0,0,0.014865889157892725,0.05627737831131825,0.000125,0.054602385554669834,0.036812187323409226,0.0031250000670552253
60,-0.008497229,0.06943746,0.06382552,0.06467987,0.00075,0.027379006,0,0.0,0,-0.00767058710357837,0.044100144818306236,0.0,0.0008266417423755711,0.025337314292907448,0.000750000006519258
61,0.0027858184,0.06250817,0.057324193,0.056359686,0.00025,0.01581133,0,0.0,0,-0.0012891473592433528,0.03098912117181843,0.0,0.0040749657777312594,0.031519052115096396,0.0002500000118743628
62,0.0041532707,0.06262763,0.06046487,0.059394658,0.001,0.031610496,0,0.0,0,0.01125186171583323,0.048224848847857965,0.0,0.007098590975771231,0.01440277959776734,0.0010000000474974513
63,-0.022179801,0.06922497,0.06581579,0.064523906,0.00025,0.01581133,0,0.0,0,-0.007299074961859843,0.03941613845433873,0.0,0.014880726055186132,0.029808830098250687,0.0002500000118743628
64,0.051386766,0.08746795,0.08721667,0.07618038,0.00225,0.04738739,0,0.0,0,0.005255919871841651,0.03427236757733702,0.0,0.046130846263850944,0.05319558598539949,0.0022499999031424522
