run_id,seed,selector,ckpt_id,epoch,tau,score,oracle_score,regret,ratio,final_score
F01_seed_422,422,min_loss,60,1475,0.8,1.65007213,0.60678335,1.0432887800000001,2.7193760837373007,1.62734885
F01_seed_422,422,min_loss_ema,61,1500,0.8,1.62734885,0.60678335,1.0205655,2.6819273304054896,1.62734885
F01_seed_423,423,oracle,27,650,0.8,0.83999129,0.83999129,0.0,1.0,2.14003545
F01_seed_423,423,lasso,26,625,0.8,0.87043184,0.83999129,0.03044055000000001,1.0362391257652208,2.14003545
F01_seed_423,423,final,61,1500,0.8,2.14003545,0.83999129,1.3000441600000001,2.547687667094739,2.14003545
F01_seed_423,423,min_loss,61,1500,0.8,2.14003545,0.83999129,1.3000441600000001,2.547687667094739,2.14003545
F01_seed_423,423,min_loss_ema,61,1500,0.8,2.14003545,0.83999129,1.3000441600000001,2.547687667094739,2.14003545
F01_seed_424,424,oracle,36,875,0.8,0.59731331,0.59731331,0.0,1.0,1.25263299
F01_seed_424,424,lasso,35,850,0.8,0.65262588,0.59731331,0.055312570000000005,1.0926022726665843,1.25263299
F01_seed_424,424,final,61,1500,0.8,1.25263299,0.59731331,0.65531968,2.0971121336639893,1.25263299
F01_seed_424,424,min_loss,60,1475,0.8,1.22801323,0.59731331,0.63069992,2.055894635932355,1.25263299
F01_seed_424,424,min_loss_ema,61,1500,0.8,1.25263299,0.59731331,0.65531968,2.0971121336639893,1.25263299
F01_seed_425,425,oracle,20,475,0.8,1.22412748,1.22412748,0.0,1.0,1.75234223
F01_seed_425,425,lasso,30,725,0.8,1.42787376,1.22412748,0.20374628000000006,1.1664420440916825,1.75234223
F01_seed_425,425,final,61,1500,0.8,1.75234223,1.22412748,0.5282147500000001,1.4315030571815937,1.75234223
F01_seed_425,425,min_loss,60,1475,0.8,1.60767469,1.22412748,0.38354721000000014,1.3133229310398293,1.75234223
F01_seed_425,425,min_loss_ema,61,1500,0.8,1.75234223,1.22412748,0.5282147500000001,1.4315030571815937,1.75234223
F01_seed_426,426,oracle,36,875,0.8,0.911467,0.911467,0.0,1.0,2.63232957
