condition,method,mse,r2,tpr,fpr,auroc,auprc,dparam,network_density,path_density,runtime_sec
relu_interaction,IS-ANN-L1,0.4034943230996617,0.832628790286809,1.0,1.0,0.9310526315789476,0.715443528235882,0.092691415313225,0.0938515081206496,0.0094418052256532,516.339
relu_interaction,IS-ANN-L1,0.4495650282035787,0.7997469383313013,1.0,0.9947368421052633,0.9063157894736842,0.8672529644268775,0.0554524361948955,0.0576566125290023,0.0056532066508313,305.578
relu_interaction,IS-ANN-L1,0.4380756961384496,0.8006370346519058,1.0,1.0,0.9978947368421052,0.9714285714285714,0.0903712296983758,0.0915313225058004,0.0092042755344418,303.939
relu_interaction,IS-ANN-L1,0.3563146036814969,0.8433235030401955,1.0,0.9947368421052633,0.9610526315789472,0.7352087286527513,0.0751740139211136,0.0763341067285382,0.0076484560570071,662.4590000000001
relu_interaction,IS-ANN-L1,0.2612616176118426,0.8793115762318658,1.0,1.0,1.0,1.0,0.072737819025522,0.0745939675174014,0.0074109263657957,663.282
trig_interaction,IS-ANN-L1,0.8314589481402909,0.6558101671287799,1.0,0.9894736842105264,0.9984210526315788,0.9697979797979798,0.0566125290023201,0.0573085846867749,0.005771971496437,439.868
trig_interaction,IS-ANN-L1,0.7677954637069115,0.6456837804353394,1.0,0.9947368421052633,0.911578947368421,0.8956497175141244,0.0559164733178654,0.0576566125290023,0.0057007125890736,434.08
trig_interaction,IS-ANN-L1,0.7275740314937972,0.6691005815281024,1.0,1.0,0.9963157894736844,0.9484848484848484,0.0945475638051044,0.0964037122969837,0.0096318289786223,362.638
trig_interaction,IS-ANN-L1,0.6998276276489346,0.6762151418643552,1.0,0.9894736842105264,0.9957894736842104,0.9123595848595848,0.0577726218097447,0.0592807424593967,0.0058907363420427,364.669
trig_interaction,IS-ANN-L1,0.7998661833088347,0.649000912549174,1.0,0.9894736842105264,0.9973684210526316,0.9614285714285716,0.0580046403712296,0.0587006960556844,0.0059144893111638,638.658
trig_interaction,IS-ANN-L1,0.7897368502193083,0.6652955248083556,1.0,0.9947368421052633,1.0,1.0,0.0703016241299303,0.071461716937355,0.0071615201900237,573.858
trig_interaction,IS-ANN-L1,0.6542624699205593,0.7055049027899505,1.0,1.0,0.966842105263158,0.8464114832535885,0.0762180974477958,0.0779582366589327,0.0077672209026128,1157.5100000000002
trig_interaction,IS-ANN-L1,0.8192926868659485,0.6258438680534868,1.0,1.0,0.9915789473684212,0.891540404040404,0.0756380510440835,0.0767981438515081,0.0077078384798099,1000.589
trig_interaction,IS-ANN-L1,1.2359353051151016,0.4309190298859079,1.0,0.9473684210526316,0.9705263157894736,0.7838603988603988,0.0373549883990719,0.0389791183294663,0.0038123515439429,861.0550000000001
trig_interaction,IS-ANN-L1,0.956745038695341,0.5905884560078875,1.0,0.9947368421052633,0.9957894736842106,0.929635642135642,0.0569605568445475,0.0589327146171693,0.0058076009501187,1167.2179999999998
relu_interaction,ISLaB-FLOW,263062557235436.0,-117378394760569.06,1.0,1.0,0.8810526315789474,0.5531646349908608,0.2705336426914153,0.3791183294663573,0.0479216152019002,7118.073
relu_interaction,ISLaB-FLOW,6884073801139.15,-3123030171106.9585,1.0,1.0,0.9421052631578948,0.6133116883116883,0.1283062645011601,0.2713457076566125,0.0172446555819477,7440.463
relu_interaction,ISLaB-FLOW,6209256387208973.0,-2768460097551416.5,1.0,0.963157894736842,0.8436842105263157,0.3186093710451115,0.0679814385150812,0.3197215777262181,0.0096199524940617,7830.72
relu_interaction,ISLaB-FLOW,22296089362.939373,-10107759869.43971,1.0,0.7578947368421053,0.7763157894736842,0.1810293110825845,0.0349187935034802,0.2838747099767981,0.0041092636579572,7816.534000000001
relu_interaction,ISLaB-FLOW,61516838336.013374,-25517453555.555367,1.0,0.9947368421052633,0.9331578947368422,0.5643167958644957,0.1247099767981438,0.2759860788863109,0.0175653206650831,7818.284000000001
relu_interaction,ISLaB-FLOW,2.4424744507536336e+21,-1.0879693840186803e+21,1.0,1.0,0.7289473684210526,0.2369011062805114,0.1672853828306264,0.3655452436194895,0.0263182897862232,6717.624
relu_interaction,ISLaB-FLOW,3.614575337302885e+24,-1.589379149758739e+24,1.0,0.9947368421052633,0.7568421052631579,0.3093357394723515,0.1401392111368909,0.3183294663573086,0.0149049881235154,6820.245
trig_interaction,ISLaB-FLOW,1.166494088645523,0.4616954707729601,1.0,0.6421052631578947,0.9563157894736842,0.5682845554747082,0.0293503480278422,0.2901392111368909,0.0045130641330166,7526.897
trig_interaction,ISLaB-FLOW,146603774916.25287,-66675144748.15207,1.0,0.9947368421052633,0.8326315789473684,0.5856159420289855,0.1245939675174013,0.2596287703016241,0.0252850356294536,7236.3
trig_interaction,ISLaB-FLOW,148468573239594.94,-65151315069538.51,1.0,0.9421052631578948,0.7,0.1426370470534834,0.078538283062645,0.129814385150812,0.0091805225653206,7560.925
trig_interaction,ISLaB-FLOW,8.720126006668686e+19,-3.695743965672293e+19,1.0,1.0,0.8905263157894737,0.4511616684219753,0.1366589327146171,0.3672853828306264,0.0220546318289786,10013.57
