group,environment,configuration,method,seed,D_SKL_A,D_JS_0,Normalized_L1_PIP,RMSE_PIP,AUROC,AUPRC,MCMCBR,BR,Time_s
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,423,0.43563330328762495,0.002373857590946984,0.027775000000000005,0.07637319555969882,1.0,0.9999999999999999,0.0002926406249999999,0.007811570000000002,1290.1625883579254
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,424,0.21960249146822436,0.002432161645902268,0.032385,0.09429933721930393,0.9999999999999999,0.9999999999999999,3.326875e-06,0.008895089374999998,3837.213999271393
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,425,0.7304771308100318,0.002258026804783304,0.04389875,0.14005608753727913,1.0,0.9999999999999999,0.0006053701562500002,0.024406761875,1289.8286480903623
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,426,0.3069463936391202,0.002606359648678423,0.0341625,0.09754113555316034,1.0,1.0,1.6843750000000028e-06,0.009549151875000002,1339.8059196472168
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,427,0.14700993936019696,0.0019082175993666009,0.037017499999999995,0.11535567145788715,1.0,0.9999999999999999,0.0033512621875000006,0.023846681249999998,1377.954122543335
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,428,0.1607416998588096,0.002251781412505137,0.03502375,0.11208813705629155,1.0,0.9999999999999999,0.00044428734374999984,0.015161771250000003,1294.0850608348846
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,429,0.16897061731370328,0.0012000093510258132,0.027522500000000002,0.10212955314207538,1.0,0.9999999999999999,0.019548105000000003,0.031166763125,1178.1522676944733
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,430,0.1893207166355368,0.0022577866056629568,0.03651625,0.10950020619272825,1.0,1.0,0.00786806765625,0.019987411875000003,1593.2907741069794
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,431,0.35604893221773515,0.0020839550777003455,0.028816249999999998,0.09763941874955012,1.0,0.9999999999999999,0.00812882671875,0.018653790625,1872.1533617973328
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,432,0.20598564829570917,0.0020734396687878535,0.030105,0.09741759979593011,0.9988888888888889,0.9909090909090909,0.006962621875,0.025785313750000004,1738.9446384906769
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,433,0.226586727547205,0.0015657003221264173,0.04252875000000001,0.13160974092463673,0.9816666666666667,0.937037037037037,0.007038727031249998,0.034065115,2891.7226865291595
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,434,0.664038138499344,0.0025192527491048502,0.0381525,0.12371454037420176,1.0,0.9999999999999999,0.0009086412500000002,0.019507749374999998,1893.494315862656
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,435,0.06649922033240879,0.0015621181052976755,0.03536,0.12003742775692922,1.0,1.0,0.0020711609375,0.023511816874999994,2033.3787808418276
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,436,0.3235925612202447,0.0023450863331131904,0.0349475,0.11458179802001711,1.0,0.9999999999999999,0.005523595312500001,0.0254740175,2125.6372513771057
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,437,0.6212983015802809,0.001736000775438842,0.04265750000000001,0.1333781349209832,1.0,1.0,0.011445147499999997,0.030016402500000004,1137.1229844093325
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,438,0.3605802265665392,0.001649051571893309,0.039945,0.12508841373204793,1.0,1.0,0.006365690624999999,0.032819464374999996,1334.759876728058
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,439,0.6087403197820851,0.0015621181052976755,0.034984999999999995,0.12457892202335032,1.0,0.9999999999999999,0.0240574721875,0.03956155562500001,2129.7892785072327
